Catalog#,Artist,Title,Label,Format,Genre,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
INRI088,Boduf Songs,"Inviolate Projection, Blood From Rome (Blankets)",BlueSanct,"10"", S/Sided, Ltd","['Doom Metal', 'Ethereal', 'Experimental']",,2009,1877244,Uncategorized,7/5/2020,,,
IPC-218LP,Bohren & Der Club Of Gore,Patchouli Blue,Ipecac Recordings,"2xLP, Album",['Dark Jazz'],,2020,14697308,Uncategorized,7/5/2020,,,
IBP158,Bölzer,Aura,Iron Bonehead Productions,"12"", EP, Ltd, RP, Gol","['Black Metal', 'Death Metal']",,2013,4792598,Uncategorized,6/22/2020,,,
none,Boris (3) featuring Uniform (5),"""Akuma No Uta"" At Elsewhere NYC 10th Sep. 2019",Holy Mountain Printing,"Flexi, 7"", S/Sided, Single",,,2020,14799251,Uncategorized,7/11/2020,,,
none,Candina,Spirit Demise,Grime Stone Records,Cass,,,2021,21064408,Uncategorized,10/11/2023,,,
none,Candina,Apparitions,Grime Stone Records,"Cass, EP, Ltd, Cle",,,2022,24125159,Uncategorized,10/11/2023,,,
FP06,Careus,In Absentia,Fiadh Productions,"Cass, EP, Ltd",['Black Metal'],,2022,25809013,Uncategorized,8/19/2023,,,
PSEUDO CS-023,Castle Turing,Castle Turing,Pseudocorp,Cass,,,2022,25363804,Uncategorized,10/11/2023,,,
none,Catalyst (46),Pomona,Larry Records,"LP, Album, Ltd, Ras",,,2022,26579276,Uncategorized,10/11/2023,,,
LY001CD,Caterina Barbieri (2),Spirit Exit,Light-years,"CD, Album",,,2022,23871236,Uncategorized,10/11/2023,,,
WTV-019,Cathedrals In The Night,Demo I,Worship The Void Records,"Cass, Ltd",,,2021,21397783,Uncategorized,10/11/2023,,,
none ,Celestial Sword,Fallen From The Astral Temple,Not On Label (Celestial Sword Self-released),"Cass, Album, Ltd, RE",['Black Metal'],,2021,19518175,Uncategorized,8/5/2021,,,Relic Version 3/5
none,Celestial Sword,Dawn Of The Crimson Moon,Not On Label (Celestial Sword Self-released),"Cass, Ltd, RE, C62","['Black Metal', 'Dungeon Synth']",,2021,19484788,Uncategorized,10/6/2021,,,
none,Celestial Sword,Dawn Of The Crimson Moon,Not On Label (Celestial Sword Self-released),"Cass, Ltd, RE, C62","['Black Metal', 'Dungeon Synth']",,2021,19484788,Uncategorized,10/6/2021,,,
DFS012,CFCF,Radiance & Submission,Driftless Recordings,"LP, Album, Ltd","['Ambient', 'Downtempo', 'Modern Classical']",,2015,7299969,Uncategorized,7/5/2020,,,
ume012,Charles.A.D,Dry Flower,梅レコード,"Cass, Album",,,2021,20147620,Uncategorized,10/11/2023,,,
none,Clem (21),Songs From The Valley,Grime Stone Records,Cass,,,2022,24556265,Uncategorized,10/11/2023,,,
NNF357,Coconut Dealers,Coconut Dealers,Not Not Fun Records,"2xCass, Comp",,,2021,20394643,Uncategorized,10/11/2023,,,
GI-372,Com Truise,"In Decay, Too",Ghostly International,"2xLP, Comp, Ltd, Cle","['Downtempo', 'Ambient', 'Synthwave']",,2020,16431690,Uncategorized,1/3/2021,,,
WV240,Cool Maritime,Big Earth Energy,Western Vinyl,"LP, Album",,,2022,23339513,Uncategorized,10/11/2023,,,
ND-007,Count Olkoth,.​.​.​Welcome To The Dungeon House,Grime Stone Records,Cass,,,2022,26599118,Uncategorized,10/11/2023,,,
"none, 104",Crestfallen Dusk,Crestfallen Dusk,"Moonlight Cypress Archetypes, Fólkvangr Records","Cass, Album, Ltd, Num","['Black Metal', 'Country Rock', 'Folk Metal']",,2022,24020723,Uncategorized,8/19/2023,,,
45,Crucifixion Bell,Subterranean Shadows,Banner Of Blood,"Cass, EP",,,2023,26039194,Uncategorized,10/11/2023,,,
none,Curta'n Wall,Terr'ble Death,Dim Light Candelabrum,"Cass, EP, Ltd, Num",,,2021,19320934,Uncategorized,10/11/2023,,,
none,Curta'n Wall,Siege Ubsessed!,"Grime Stone Records, A.S.GSR","Cass, Album, Ltd, M/Print, w/ ",,,2023,27041202,Uncategorized,10/11/2023,,,
LURE_102-S,Curta'n Wall,Siege Ubsessed! / Crocodile Moat... And Moar!,Phantom Lure,"2xLP, Album, Dlx, Ltd, Box",,,2023,28180315,Uncategorized,10/11/2023,,,
CT068,dai-ichi,Dai-ichi,Crown & Throne Ltd.,"LP, Ltd",,,2023,27170820,Uncategorized,10/11/2023,,,
WIGLP419,Dan Deacon,Mystic Familiar,Domino,"LP, Album, Ltd, Sil",['Experimental'],,2020,14728052,Uncategorized,7/5/2020,,,
WARPLP308,Daniel Lopatin,Uncut Gems (Original Motion Picture Soundtrack),Warp Records,"2xLP, Album",['Soundtrack'],,2019,14529639,Uncategorized,8/8/2020,,,
VILELP35,Darkthrone,Under A Funeral Moon,Peaceville,"LP, Album, RE, Gat",['Black Metal'],,2010,10773910,Uncategorized,6/10/2021,,,
VILELP923,Darkthrone,Eternal Hails......,Peaceville,"LP, Album, Ltd, Mar",['Black Metal'],,2021,19248652,Uncategorized,7/3/2021,,,
SRUIN138,Decoherence (2),System I,Sentient Ruin Laboratories,"Cass, Comp","['Industrial Metal', 'Black Metal']",,2021,19168087,Uncategorized,7/3/2021,,,
IXP-075,Dëhks... Ëspërance,Tragedy in the Eternal Empire of Mälëfice...,Ixiol Productions,"LP, Album, Ltd, Dar",,,2023,27061842,Uncategorized,10/11/2023,,,
CSKT-002,Doldrum (2),"The Knocking, Or The Story Of The Sound That Preceded Their Disappearance",Katafalque,"Cass, Album",,,2022,24437369,Uncategorized,10/11/2023,,,
SCRS01,Dorchadas,Sgàil,Soulcrusher Productions,"CD, EP",,,2020,25359994,Uncategorized,10/11/2023,,,
DAIS136,Drab Majesty,Modern Mirror ,Dais Records,"LP, Album, Ltd, RP, Cle","['Darkwave', 'New Wave', 'Goth Rock']",,2019,14333106,Uncategorized,7/5/2020,,,
NNF370,Dravier,Earth Mirage,Not Not Fun Records,"Cass, Album","['Lo-Fi', 'New Age', 'Tribal']",,2021,19189816,Uncategorized,8/28/2021,,,
SRUIN123,DSKNT,Vacuum γ​-​Noise Transition,Sentient Ruin Laboratories,"Cass, Album",,,2021,17170258,Uncategorized,6/3/2021,,,
"SRUIN058, BDC008",DSKNT,PhSPHR Entropy,"Sentient Ruin Laboratories, Babylon Doom Cult Records","LP, Album, Cle","['Black Metal', 'Death Metal']",,2018,12155904,Uncategorized,7/5/2020,,,
KEM 082,Dungen,4,Kemado Records,"LP, Album, Ltd, Whi","['Garage Rock', 'Space Rock', 'Psychedelic Rock']",,2008,2619437,Uncategorized,7/5/2020,,,
HD034,Dylan Cameron,Infinite Floor,HoloDeck,"LP, Album",['Techno'],,2016,7467684,Uncategorized,7/5/2020,,,
FR094,Dysthymia (4),Dysthymia,Fólkvangr Records,"Cass, Ltd, Num","['Depressive Black Metal', 'Atmospheric Black Metal']",,2021,21426001,Uncategorized,8/19/2023,,,
SP 185,Earth (2),Earth 2 - Special Low Frequency Version,Sub Pop,"2xLP, Album, RP","['Doom Metal', 'Experimental', 'Noise']",,2006,760379,Uncategorized,6/22/2020,,,
SP 361,Earth (2),Pentastar: In The Style Of Demons,Sub Pop,"LP, Album, RP","['Stoner Rock', 'Doom Metal']",,2006,700865,Uncategorized,6/22/2020,,,
none,Ebony Pendant,The Garden Of Strangling Roots,Grime Stone Records,"CD, EP, Ltd",['Black Metal'],,2021,17559457,Uncategorized,6/3/2021,,,
none,Ebony Pendant,Incantation Of Eschatological Mysticism,Grime Stone Records,"CD, Album",['Black Metal'],,2020,15990303,Uncategorized,5/20/2021,,,
WIGLP470X,Ela Minus,Acts Of Rebellion,Domino,"LP, Album, Ltd, Sil",['Techno'],,2020,16101857,Uncategorized,4/10/2021,,,
EDITIONS Mego 109V,Emeralds (2),What Happened,Editions Mego,"2xLP, Album, RE","['Drone', 'Experimental', 'Ambient']",,2010,2500279,Uncategorized,8/8/2020,,,
GI-407 / SMM-XLIV,Emeralds (2),Solar Bridge,Ghostly International,"LP, Album, RM",,,2022,24704294,Uncategorized,10/11/2023,,,
RAR131,Erensyrah,Odes To The Ghost,Realm & Ritual,"Cass, Ltd, Num",,,2022,22652990,Uncategorized,10/11/2023,,,
relic110,False (2),Portent,Gilead Media,"LP, Album, Ltd, Aqu",['Black Metal'],,2019,14253209,Uncategorized,7/6/2020,,,
RELIC58,False (2),Untitled,Gilead Media,"2xLP, Album, Ltd, Blu",,,2015,7150100,Uncategorized,10/11/2023,,,
"ORE004, ELD039",False (2),FALSE,"Howling Mine, Gilead Media","LP, Album",['Black Metal'],,2011,3044595,Uncategorized,7/6/2020,,,
none,Fell Voices,Fell Voices,"Human Resources, Attrition Records (2)","LP, Album",,,2009,1994131,Uncategorized,10/11/2023,,,
CRESCENT-003,Fellwinter,Night Of The Blood,Blood And Crescent,"CD, Album",['Black Metal'],,2022,23826767,Uncategorized,10/25/2022,,,
CRESCENT-006,Fellwinter,The Dawn Of Winter,Blood And Crescent,"CD, Album",['Black Metal'],,2023,27735606,Uncategorized,8/19/2023,,,
none,Festung,Der Turm,Not On Label (Festung Self-released),"Cass, Album, Ltd, Num",,,2022,21847657,Uncategorized,10/11/2023,,,
HAUSMO 73,Fire-Toolz,Skinless X-1,Hausu Mountain,"LP, Album","['Experimental', 'Ambient', 'Black Metal', 'Industrial', 'Fusion', 'New Age', 'Prog Rock', 'Noise', 'Vaporwave']",,2018,12422487,Uncategorized,8/25/2020,,,
OM123,Fire-Toolz,Field Whispers (Into The Crystal Palace),Orange Milk Records,"LP, Album","['Experimental', 'Prog Rock', 'Leftfield', 'New Age', 'Black Metal', 'Fusion', 'Ambient', 'Abstract']",,2019,14080190,Uncategorized,8/25/2020,,,
none,Fire-Toolz,Antihero,Not On Label (Fire-Toolz Self-released),"File, MP3, Single, VBR",['Black Metal'],,2020,15712180,Uncategorized,5/24/2021,,,
ASGSR 001,Forgotten Wind,Assorted Encounters With Apparitions,A.S.GSR,"Box, Album, Club, Ltd + 2xCass","['Dungeon Synth', 'Dark Ambient']",,2021,18767872,Uncategorized,5/20/2021,,,
Vendetta 92,Fórn,The Departure Of Consciousness,Vendetta Records (3),"LP, Album",['Funeral Doom Metal'],,2014,5912418,Uncategorized,6/22/2020,,,
TEXT018,Four Tet,Pink,Text Records,"2xLP, Album, Club, RM, 180","['Techno', 'IDM', 'Deep House', 'Experimental', 'Ambient']",,2015,7467715,Uncategorized,8/25/2020,,,
none,Friisk,.​.​.​ Un Torügg Bleev Blot Sand,Vendetta Records (3),"Cass, Album, Ltd",['Atmospheric Black Metal'],,2021,19403434,Uncategorized,8/5/2021,,,
DGMLP3,Fripp & Eno,The Equatorial Stars,"Discipline Global Mobile, Opal Records","LP, Album, RE, 200","['Experimental', 'Ambient']",,2014,6106294,Uncategorized,7/5/2020,,,
none,Frosk (3),Stone Prison,Grime Stone Records,"Cass, EP, Whi",,,2023,27706905,Uncategorized,10/11/2023,,,
TW001,Frost Clad,The Bastion Of Pines,Totem Wilds,"Cass, Ltd",,,2023,26127776,Uncategorized,10/11/2023,,,
NNF394,Frunk29,The Fifth Season,Not Not Fun Records,"Cass, Album",,,2022,25550965,Uncategorized,10/11/2023,,,
none,Fugitive Wizard (2),Extorris Magus,"Grime Stone Records, Pseudocorp","2xCass, Comp, Ltd","['Black Metal', 'Dungeon Synth']",,2021,18980509,Uncategorized,6/3/2021,,,
none,Fugitive Wizard (2),Obscuri Æternum,"Grime Stone Records, Pseudocorp",CD,,,2021,21062254,Uncategorized,10/11/2023,,,
PSEUDO CS-027,Fugitive Wizard (2),Ultima Magus Chapter I,Pseudocorp,"Cass, Ltd, Num",,,2023,28199857,Uncategorized,10/11/2023,,,
PSEUDO CS-035,Fugitive Wizard (2),Extorris Magus Appendix,Pseudocorp,"Cass, Ltd, Num",,,2023,28199902,Uncategorized,10/11/2023,,,
PSEUDO CS-039,Fugitive Wizard (2),Ultima Magus Chapter II,Pseudocorp,"Cass, Ltd, Num",,,2023,28199890,Uncategorized,10/11/2023,,,
DC90,Gastr Del Sol,Upgrade & Afterlife,Drag City,"12"" + LP + Album","['Post Rock', 'Indie Rock']",,1996,151832,Uncategorized,8/17/2020,,,
CRESCENT-002,Gauntlet Ring,Tyrannical Bloodlust,Blood And Crescent,"CD, Album",['Black Metal'],,2022,23310416,Uncategorized,10/25/2022,,,
CRESCENT-005,Gauntlet Ring,Beyond The Veil Of The Night,Blood And Crescent,"CD, Album",['Black Metal'],,2023,27686412,Uncategorized,8/19/2023,,,
HMP168,Ghoëst,Demo XV-XVI,High Mage Productions,Cass,,,2023,27553074,Uncategorized,10/11/2023,,,
void·026,Gloosh,Sylvan Coven,Depths of Void,"LP, Album, Ltd, Num, Cle",,,2022,23365466,Uncategorized,10/11/2023,,,
CST156,Godspeed You Black Emperor!,G_d's Pee At State's End!,Constellation,"LP, 180 + 10"", EP + Album",['Post Rock'],,2021,18068767,Uncategorized,4/10/2021,,,
NNF374,Golden Hallway Music,Rules & Chance Vol. 2,Not Not Fun Records,Cass,,,2021,19333849,Uncategorized,10/11/2023,,,
none,Golden Hallway Music,Rules & Chance,Not On Label (Golden Hallway Music Self-released),"Cass, Album","['Experimental', 'Minimal', 'Ambient', 'New Age', 'Lounge']",,2020,15482132,Uncategorized,6/10/2021,,,
V2007,Gong,Angel's Egg (Radio Gnome Invisible Part 2),Virgin,"LP, Album, Gat","['Space Rock', 'Psychedelic Rock', 'Prog Rock']",,1973,4548825,Uncategorized,6/22/2020,,,
"TRR 187, TRR187 LP",Grails,"Black Tar Prophecies Vol's 4, 5 & 6","Temporary Residence Limited, Temporary Residence Limited","2xLP, Comp, Etch","['Post Rock', 'Prog Rock']",,2013,4972923,Uncategorized,8/25/2020,,,
LR177,Green-House,Music For Living Spaces,Leaving Records,"Cass, Album",['Ambient'],,2021,19059580,Uncategorized,6/15/2021,,,
RAR129,Griefspell,Enchantments Of Dark Eternity,Realm & Ritual,"Cass, Ltd, Num",,,2022,22301380,Uncategorized,10/11/2023,,,
NP122_CA,Grima (2),Rotten Garden,Naturmacht Productions,"Cass, Album, Ltd",['Atmospheric Black Metal'],,2021,17047761,Uncategorized,7/11/2021,,,
"CAD3208, CAD 3208",Grimes (4),Visions,"4AD, 4AD","LP, Album","['Leftfield', 'New Wave', 'Abstract', 'Synth-pop', 'Experimental', 'Ethereal']",,2012,3419668,Uncategorized,7/5/2020,,,
TSR065,Growing,All The Way,The Social Registry,"LP, Album","['Experimental', 'Ambient']",,2008,1519150,Uncategorized,7/5/2020,,,
L&D12,Growing,Diptych,Laffs & Danger,"Cass, Album","['Drone', 'Abstract', 'Post Rock', 'Ambient']",,2021,18979456,Uncategorized,7/3/2021,,,
core047,Growing,Live,Conspiracy Records (2),"2xLP, Album, Ltd","['Drone', 'Noise', 'Minimal', 'Ambient']",,2007,938040,Uncategorized,7/3/2021,,,
NP - XVIII,Gudsforladt,"Friendship, Love and War",Night Of The Palemoon,Cass,,,2022,25775032,Uncategorized,10/11/2023,,,
CCA077,Gulch (2),Impenetrable Cerebral Fortress,Closed Casket Activities,"12"", Album, RP, Bla","['Hardcore', 'Metalcore']",,2020,15762528,Uncategorized,9/24/2020,,,
"OE015, UNIVERSE #1",Haarp (2) / Thou (2),Reincarnation Prayer,"One Eye Records (2), Mirror Universe","7"", EP, Ltd, Ora",,,2009,2039922,Uncategorized,6/22/2020,,,
AMI028,Hall Of Fame,"First Came Love, Then Came The Tree",Amish Records,LP + CDr + Ltd,"['Folk Rock', 'Psychedelic Rock']",,2007,1614479,Uncategorized,7/5/2020,,,
none,Hauntefaerie,"""Haunted by Fae"" Mix Vol. III-IV ",Not On Label,"CDr, Ltd",,,2023,27464361,Uncategorized,10/11/2023,,,
FR100,Have A Nice Life,Sea Of Worry,Flenser Records,"LP, Album, Ltd, Gre","['Doom Metal', 'Pop Rock', 'Shoegaze']",,2019,14361225,Uncategorized,7/5/2020,,,
NOQ021-1,Headdress,Lunes,No Quarter,"LP, Ltd","['Psychedelic Rock', 'Experimental']",,2009,1819216,Uncategorized,7/5/2020,,,
TLR 078,Heavy Winged,Fields Within Fields,Three Lobed Recordings,"LP, Album, Ltd",['Psychedelic Rock'],,2010,2296184,Uncategorized,7/5/2020,,,
ABX036,Heavy Winged,"Waking, Shaking",Aurora Borealis,"LP, Album, Ltd, Tra",['Drone'],,2009,1802121,Uncategorized,7/5/2020,,,
CAD 3503,Holly Herndon,Platform,4AD,"2xLP, Album",['Experimental'],,2015,7015065,Uncategorized,6/24/2020,,,
none,Homeskin,Itch Ecstasy,Not On Label (Homeskin Self-released),"Cass, Ltd, Pur",,,2022,25069579,Uncategorized,10/11/2023,,,
GARDE047,Ifernach,The Green Enchanted Forest Of The Druid Wizard,Tour De Garde,"CD, Album",,,2020,16004008,Uncategorized,10/11/2023,,,
BLNR013,Inferno (2),Paradeigma (Phosphenes Of Aphotic Eternity) ,Bile Noire,"Cass, Album, Ltd",['Black Metal'],,2021,18768931,Uncategorized,6/28/2021,,,
PSEUDO CS-040,Iron Firmament,Keepeater,Pseudocorp,"Cass, Album, Ltd, Num",,,2023,28138030,Uncategorized,10/11/2023,,,
STH2218,James Pants,Seven Seals,Stones Throw Records,"LP, Album",['Synth-pop'],,2009,2051877,Uncategorized,7/5/2020,,,
STH2363,James Pants,Savage,Stones Throw Records,"LP, Album","['New Age', 'Experimental']",,2015,6902928,Uncategorized,8/25/2020,,,
MS 2089,John Fahey & His Orchestra,Of Rivers And Religion,Reprise Records,"LP, Album, Die","['Folk Rock', 'Acoustic']",,1972,11641428,Uncategorized,7/5/2020,,,
NDEYA7LP,Jon Hassell,Seeing Through Sound (Pentimento Volume Two),Ndeya,"LP, Album","['Ambient', 'Contemporary Jazz', 'Leftfield']",,2020,15661397,Uncategorized,8/8/2020,,,
NDEYA1LP,Jon Hassell,Listening To Pictures (Pentimento Volume One),Ndeya,"LP, Album","['Ambient', 'Contemporary Jazz', 'Leftfield']",,2018,12103231,Uncategorized,7/5/2020,,,
VIRUS 461,Jucifer,За Bолгой для нас земли нет,"Alternative Tentacles, Mutants Of The Monster","2xLP, Album","['Doom Metal', 'Sludge Metal']",,2013,5174165,Uncategorized,7/5/2020,,,
"NRR-050, none",Kaldeket,Vitiate,"Night Rhythms Recordings, Big Bovine Industrial Wastes","Cass, EP",,,2021,20709817,Uncategorized,10/11/2023,,,
MOP093,Katabasilisk,Sunset of Solemn Silhouettes,Murder On Ponce,"Cass, Album, Ltd, Num",,,2021,18634567,Uncategorized,10/11/2023,,,
FR64,Kayo Dot,Hubardo,Flenser Records,"3xLP, Album, RE","['Avantgarde', 'Experimental', 'Prog Rock', 'Black Metal']",,2017,10434339,Uncategorized,7/5/2020,,,
HRR002V,Kayo Dot / Bloody Panda,Kayo Dot / Bloody Panda,Holy Roar Records,"12"", Gre",,,2006,919009,Uncategorized,7/5/2020,,,
LM 79,Këkht Aräkh,Pale Swordsman ,Livor Mortis,"LP, Album, Ltd",['Black Metal'],,2021,20507959,Uncategorized,4/19/2022,,,
SBR-3039,Këkht Aräkh,Night & Love,Sacred Bones Records,"Cass, Album",,,2022,25415287,Uncategorized,10/11/2023,,,
