,release_id,img_url,paid
28,24663209,https://i.discogs.com/VeTsFMLBdGKjMdxo1aMqkp-SKTyzWvHGdcjEPtb6IHQ/rs:fit/g:sm/q:90/h:593/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NjYz/MjA5LTE2NjQ0MzEw/NTUtMzIxMC5qcGVn.jpeg,6.5
29,23413859,https://i.discogs.com/5wbMT6phQL97tYjbmaG32Yy2L_G5SBGklQgAxFvasQU/rs:fit/g:sm/q:90/h:450/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNDEz/ODU5LTE2NjE2NDY2/NTQtNjUzNi5qcGVn.jpeg,
30,14691829,https://i.discogs.com/wIASRGnf_ImPmgD5yJwWkrtcNkiyzMlGMCKQ5I2f7L0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0Njkx/ODI5LTE1ODA1NjI0/NTUtMjcyNS5qcGVn.jpeg,19.99
31,2512279,https://i.discogs.com/F01UygpavZX_NbH0ABA9aiFFnxBYooCRKxT8BYNMZAI/rs:fit/g:sm/q:90/h:555/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MTIy/NzktMTI4ODM2OTQ4/NS5qcGVn.jpeg,
32,22426726,https://i.discogs.com/DtXcC8tYZag0iVjJ_BScQcrSYAOiXaXVHrhZnBmuK4Q/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNDI2/NzI2LTE2NDg1NDM0/ODItODU5OC5wbmc.jpeg,
33,19527991,https://i.discogs.com/vhZubVC-ur0YPxTfQaJU6dr5a1ykT6aIMGS0lLX0ETc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NTI3/OTkxLTE2MjY1Mzk0/NjEtNjMzNS5qcGVn.jpeg,
34,14760208,https://i.discogs.com/G2pznBu5xwDb5UzpXBKKkE9nl2R2R2TpWi02XpmcCXw/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NzYw/MjA4LTE1OTAwNzU1/MzMtODUxMC5qcGVn.jpeg,20.53
35,15514240,https://i.discogs.com/UIahAXz3Lsxv8m5_tUow9WdQdrdmNclisaMpada61eA/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NTE0/MjQwLTE1OTI4MTQ4/NjItMTUzNS5qcGVn.jpeg,
36,6158352,https://i.discogs.com/sFWXJASlP0muIVG-_V1OYaIlbk1WMN5fIp1FHec4UEY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxNTgz/NTItMTQxMjUzMDE1/OC01ODgxLmpwZWc.jpeg,5.0
37,18004795,https://i.discogs.com/bP7BDuY7OBy9rt0KFCFgAvbdphKzEm8r1Qc5R-HW8a8/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4MDA0/Nzk1LTE2NDQzMjg1/NzAtOTc5Mi5qcGVn.jpeg,10.0
